source_id,field,elasticsearch_type,target,status
pessoas,BAIRRO,text,custom.original_field,pending_mapping
pessoas,CBO,text,custom.original_field,pending_mapping
pessoas,CELULAR1,text,custom.original_contact,pending_contact_parse
pessoas,CELULAR2,text,custom.original_contact,pending_contact_parse
pessoas,CELULAR3,text,custom.original_contact,pending_contact_parse
pessoas,CELULAR4,text,custom.original_contact,pending_contact_parse
pessoas,CELULAR5,text,custom.original_contact,pending_contact_parse
pessoas,CEP,text,custom.original_field,pending_mapping
pessoas,CIDADE,text,custom.original_field,pending_mapping
pessoas,COMPLEMENTO,text,custom.original_field,pending_mapping
pessoas,CPF,text,document.number,mapped
pessoas,DT_NASCIMENTO,text,identity.birth_date,pending_date_validation
pessoas,DT_OBITO,text,custom.original_field,pending_mapping
pessoas,EMAIL,text,custom.original_contact,pending_contact_parse
pessoas,FLAG_OBITO,text,custom.original_field,pending_mapping
pessoas,LOGRADOURO,text,custom.original_field,pending_mapping
pessoas,NOME,text,identity.name,mapped
pessoas,NOME_MAE,text,relationship.pending_mother_name,pending_identity_resolution
pessoas,NUMERO,text,custom.original_field,pending_mapping
pessoas,PCT_CARGO_SOCIETARIO,text,custom.original_field,pending_mapping
pessoas,RENDA_PRESUMIDA,text,custom.original_field,pending_mapping
pessoas,SERASA_CLASSE_SOCIAL,text,custom.original_field,pending_mapping
pessoas,SERASA_CONTATOS_ID,long,custom.original_field,pending_mapping
pessoas,SERASA_DATA_NASCIMENTO,date,custom.original_field,pending_mapping
pessoas,SERASA_DATA_OBITO,date,custom.original_field,pending_mapping
pessoas,SERASA_DT_ATUALIZACAO,date,custom.original_field,pending_mapping
pessoas,SERASA_DT_INCLUSAO,date,custom.original_field,pending_mapping
pessoas,SERASA_DT_SIT_CAD,date,custom.original_field,pending_mapping
pessoas,SERASA_ESTADO_CIVIL,text,custom.original_field,pending_mapping
pessoas,SERASA_FAIXA_RENDA,text,custom.original_field,pending_mapping
pessoas,SERASA_MOSAIC_DESCRICAO,text,custom.original_field,pending_mapping
pessoas,SERASA_MOSAIC_GRUPO,text,custom.original_field,pending_mapping
pessoas,SERASA_MOSAIC_TIPO,text,custom.original_field,pending_mapping
pessoas,SERASA_NACIONALIDADE,text,custom.original_field,pending_mapping
pessoas,SERASA_NASC,date,custom.original_field,pending_mapping
pessoas,SERASA_NOME,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_CIVIL,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_MAE,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_MEIO,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_PAI,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_PRIMEIRO,text,custom.original_field,pending_mapping
pessoas,SERASA_NOME_ULTIMO,text,custom.original_field,pending_mapping
pessoas,SERASA_ORGAO_EMISSOR,text,custom.original_field,pending_mapping
pessoas,SERASA_RENDA,text,custom.original_field,pending_mapping
pessoas,SERASA_RG,text,custom.original_field,pending_mapping
pessoas,SERASA_SEXO,text,custom.original_field,pending_mapping
pessoas,SERASA_SITUACAO_CADASTRAL,text,custom.original_field,pending_mapping
pessoas,SERASA_SUB_CLASSE_SOCIAL,text,custom.original_field,pending_mapping
pessoas,SERASA_TITULO_ELEITOR,text,custom.original_field,pending_mapping
pessoas,SERASA_UF_EMISSAO,text,custom.original_field,pending_mapping
pessoas,SERASA_affinity_percentile,text,custom.original_field,pending_mapping
pessoas,SERASA_affinity_score,float,custom.original_field,pending_mapping
pessoas,SERASA_cadastro_origem,text,custom.original_field,pending_mapping
pessoas,SERASA_cadastro_origem_rank,long,custom.original_field,pending_mapping
pessoas,SERASA_data_nascimento,date,custom.original_field,pending_mapping
pessoas,SERASA_data_nascimento_conjuge,date,custom.original_field,pending_mapping
pessoas,SERASA_data_obito,date,custom.original_field,pending_mapping
pessoas,SERASA_dt_atualizacao,date,custom.original_field,pending_mapping
pessoas,SERASA_dt_exportacao,date,custom.original_field,pending_mapping
pessoas,SERASA_dt_inclusao,date,custom.original_field,pending_mapping
pessoas,SERASA_dt_informacao,date,custom.original_field,pending_mapping
pessoas,SERASA_estado_civil,text,custom.original_field,pending_mapping
pessoas,SERASA_faixa_renda,text,custom.original_field,pending_mapping
pessoas,SERASA_flag_inibir_contato,long,custom.original_field,pending_mapping
pessoas,SERASA_flag_servidor_publico,long,custom.original_field,pending_mapping
pessoas,SERASA_household_id,long,custom.original_field,pending_mapping
pessoas,SERASA_household_id_2016,long,custom.original_field,pending_mapping
pessoas,SERASA_idade,long,custom.original_field,pending_mapping
pessoas,SERASA_mosaic_descricao,text,custom.original_field,pending_mapping
pessoas,SERASA_mosaic_grupo,text,custom.original_field,pending_mapping
pessoas,SERASA_mosaic_tipo,text,custom.original_field,pending_mapping
